Plot Name,Description,x_axis
Occupation,"1. **What does it represent?** The diversity of employment fields among credit applicants.
2. **What does the density distribution show us?** There's a varied distribution across different occupations, with no single occupation dominating the 'Good' credit score category.
3. **Average Score by Occupation:** The average credit scores seem consistent across most occupations, suggesting that occupation alone doesn't significantly affect credit scores.
4. **Overall:** Occupation shows a very low correlation to credit score, indicating other factors are more indicative of creditworthiness.",Occupation
Credit_Mix,"1. **What does it represent?** The variety of credit types managed by an individual. 
2. **What does the density distribution show us?** Individuals with a 'Good' credit mix tend to have a higher density in the 'Good' credit score category.
3. **Average Score by Credit Mix:** A good credit mix correlates with higher average credit scores, implying a well-managed credit portfolio positively impacts scores.
4. **Overall:** A moderate correlation with credit score, reinforcing the importance of a diversified credit portfolio.",Credit Mix
Payment_Behaviour,"1. **What does it represent?** Patterns of payment, including timeliness and the amount paid.
2. **What does the distribution show us?** Regular and higher value payments are more common among those with 'Good' credit scores.
3. **Average Score by Payment Behaviour:** Consistently responsible payment behavior is associated with higher credit scores.
4. **Overall:** There is a noticeable correlation between payment behavior and credit scores, suggesting that timely and complete payments can improve creditworthiness.",Payment Behaviour
Num_Bank_Accounts,"1. **What does it represent?** The number of bank accounts an individual possesses.
2. **What does the density distribution show us?** A balanced distribution across credit scores, with no clear trend favoring 'Good' credit scores.
3. **Average Score by Num Bank Accounts:** The number of bank accounts shows a weak correlation with credit scores, with no significant impact observed.
4. **Overall:** The correlation between the number of bank accounts and credit scores is minimal, indicating the number of accounts is a less significant factor in credit scoring.",Number of Bank Accounts
Num_Credit_Card,"1. **What does it represent?** TThe number of credit cards held by an individual.
2. **What does the density distribution show us?** A moderate number of credit cards is common among individuals with 'Good' credit scores, but having too many does not necessarily correlate with better scores.
3. **Average Score by Num Credit Card:** Holding a moderate number of credit cards may be beneficial to credit scores, but an excessive number could be detrimental.
4. **Overall:** The data shows a mild positive correlation between the number of credit cards and credit scores up to a certain point, after which it may negatively impact the score.",Number of Credit Cards
Interest_Rate,"1. **What does it represent?** The interest rates applicable to an individual's credit lines.
2. **What does the density distribution show us?** Individuals with lower interest rates generally have better credit scores.
3. **Average Score by Interest Rate:** Lower interest rates often correlate with higher credit scores, implying that improving creditworthiness can lead to more favorable loan terms.
4. **Overall:** Interest rate has a negative correlation with credit score, indicating that as creditworthiness improves, individuals may access credit at lower interest rates.",Interest Rate (in %)
Monthly_Inhand_Salary,"1. **What does it represent?** The net monthly income an individual receives.
2. **What does the density distribution show us?** Higher monthly incomes are generally associated with 'Good' credit scores.
3. **Average Score by Monthly Inhand Salary:** There is a positive trend where higher income correlates with better credit scores.
4. **Overall:** Monthly in-hand salary shows a positive correlation with credit scores, suggesting that higher income levels may support creditworthiness.",Monthly Inhand Salary (In USD)
Outstanding_Debt,"1. **What does it represent?** The total amount of debt an individual currently owes.
2. **What does the density distribution show us?** Higher outstanding debts are more frequently associated with 'Poor' credit scores.
3. **Average Score by Outstanding Debt:** Generally, a higher amount of outstanding debt is correlated with lower credit scores.
4. **Overall:** Outstanding debt has a negative correlation with credit scores, indicating that higher debt levels are often linked to poorer creditworthiness.
",Outstanding Debt (in thousands of USD)
Credit_History_Age,"1. **What does it represent?** The length of time an individual has had credit.
2. **What does the density distribution show us?** The majority of individuals have a shorter credit history, but those with longer histories are more likely to have 'Good' credit scores.
3. **Average Score by Credit History Age:** There is an upward trend indicating that a longer credit history may correlate with higher credit scores.
4. **Overall:** There is a positive correlation, suggesting that a longer credit history can positively influence credit scores.
",Credit History Age (in Months)
Total_EMI_per_month,"1. **What does it represent?** The total monthly equated installment payments an individual has to make.
2. **What does the density distribution show us?** Most individuals have lower EMI amounts, with the density tapering off as the amount increases.
3. **Average Score by Total EMI per Month:** The average credit score slightly decreases as the total EMI per month increases.
4. **Overall:**Higher EMI payments per month might be associated with a slight decrease in credit scores, indicating financial strain.",Total EMI per month (in USD)
